Family Name,Blazon
FEISTLIN,"Argent, to a hillock doubles flaming of three pieces, the whole Vert."
FEISTMANTEL,"Azure, a saltier Or, cantoned of four branches of oak of the same,"
FEISTRITZ,"Quarterly: 1st, Sable, to a wheel Or, supported of a sea Argent; 2nd and"
FEISTRITZER,"The coats of arms of Mechsemberger which are Argent to the lion Sable,"
FEIT DE LONGUEVAL,See Longueval.
FEITAMA,"Or, to a head and neck of steer Sable. Or: Per pale: 1st, Or, to the half"
FEITH,"Vert, to a rampant horse Argent. Crowned Helmet. Crest: the horse,"
FEITSMA,See Feytsma.
FEJÉRVÁRY DE KOMLÓS-KERESZTES,"Azure, a fess Gules, surmounted of a lion passant Or and accompanied in"
FEKETE,"Per pale: 1st, Azure, to the lion Or, supported of a terrasse Vert and"
FEKETE DE GALÁNTHA,"Per pale: 1st, Azure, to the lion Or, holding a sword Argent, hilted Or;"
FEKETE DE IVÁNY,"Azure, to a embattled wall Argent, open of the field, set on a terrasse"
FELBER,"Argent, to a poplar Vert, on a hillock of the same, the field"
FELBER,"Argent, to a tree on a terrasse Vert. Crest: a wing, bearing the arms of"
FELBER DE FOELSENSTAIN,"Quarterly: 1st and 4th, Azure, to a couped trunk Proper, pushing withered"
FELBIER,"Argent, to a issuing from dexter flank tun, Proper, and a flame of fire"
FELBIERS,"Argent, 3 shears Gules, ends in bottom. Or: Or, 3 shears Sable, ends in"
FELBNER,"Or, to a conical hat reversed Sable, come out two arms vested Gules, the"
FELD (IM),"Azure, to a latin cross Argent, private of the higher arm, accompanied of"
FELDE (VON DEM),"Gules, to a stock Or, set in bend, pushing on each side three leaves of"
FELDE (VON DEM),"Azure, 2 crescent with human faces Or, addorsed. Crest: the"
FELDEN (VON DER),"Azure, 3 fishes swimming Argent, one on the other. Crest: a vol of 2"
FELDEN (VON),"Quarterly: 1st and 4th, Gules, to a dove Argent, holding in its beak a"
FELDEN (VON),"Purpure, 3 with leaves ears Or, set on a terrasse Vert. Crowned Helmet."
FELDEN-ZAKRZEWSKI,"Gules, 3 stocks Or, set in bends, set in bend sinister, the first and the"
FELDHEIM,See Bierfeldner edle von Feldheim.
FELDING,"Azure, 3 fess Or, to a bourdon of pilgrim of the same, debruising over"
FELDKIRCH,"Or, to a gonfanon Gules, adorned at the top of three annulets Or. Crest:"
FELDMANN,"Per pale: Sable a mullet Argent, and Gules to a mullet Argent, a chief"
FELDSTEDT,"Gules, a fess Argent, charged of three heads of lion of the field. Crest:"
FELDTHEIM,See Veltheim.
FELDTNER,"Quarterly: 1st and 4th, Sable, to a rampant stag Proper; 2nd and 3rd, per"
FELDWEGER,"Or, 2 fess Sable. Crest: two proboscis, per fess alternatively Or and"
FELGENHAUER,"Gules, 3 rims of wheel Argent, in fess, one on the other. Crowned Helmet."
FELGERMANN,"Argent, 2 fess wavy Azure. Crest: a demi-lion issuant, holding a"
FELICAIA,"Or, 3 chevrons Gules."
FELICE (DE),"Or, a fess Gules, accompanied in chief of three mullets set Azure, and in"
FELICES,"Or, to a tower towered of three turrets Gules, that of the medium more"
FELICI,"Gules, to the cross Azure, charged of five mullets Argent."
FELICIANI,"Azure, 3 chevrons Or, a chief of the first, charged of three fleur de lys"
FELICINI,"Or, to a stalks erased with leaves of five pieces, 1,2 and 2, the whole"
FELICINOVICH DE TREUSTERN,"Quarterly: 1st, Or, to a dog rampant Proper, facing the sinister talbot;"
